Name,Number,Position,Height,Weight,Age,Exp,College
Olasunkanmi Adeniyi,,,,,,,
Marcus Allen,27.0,LB,2-Jun,215.0,24.0,2,Penn State
Tyson Alualu,94.0,DE,3-Jun,304.0,33.0,11,California
Jordan Berry,4.0,P,5-Jun,195.0,29.0,6,Eastern Kentucky
Chris Boswell,9.0,K,2-Jun,185.0,29.0,6,Rice
Antoine Brooks Jr.,25.0,S,11-May,210.0,23.0,R,Maryland
Isaiah Buggs,96.0,DE,3-Jun,295.0,24.0,2,Alabama
Kameron Canaday,57.0,LS,4-Jun,245.0,28.0,4,Portland State
Chase Claypool,11.0,WR,4-Jun,238.0,22.0,R,Notre Dame
James Conner,30.0,RB,1-Jun,233.0,25.0,4,Pittsburgh
Jordan Dangerfield,37.0,S,11-May,199.0,29.0,4,Towson
Carlos Davis,73.0,DT,2-Jun,320.0,24.0,R,Nebraska
Sean Davis,21.0,S,1-Jun,202.0,27.0,5,Maryland
David DeCastro,66.0,G,5-Jun,316.0,30.0,9,Stanford
Joshua Dobbs,5.0,QB,3-Jun,216.0,25.0,4,Tennessee
Kevin Dotson,69.0,OL,4-Jun,321.0,24.0,R,Louisiana
Eric Ebron,85.0,TE,4-Jun,253.0,27.0,7,North Carolina
Terrell Edmunds,34.0,S,1-Jun,217.0,23.0,3,Virginia Tech
Jayrone Elliott,45.0,LB,3-Jun,240.0,29.0,5,Toledo
Minkah Fitzpatrick,39.0,S,1-Jun,207.0,24.0,3,Alabama
Ulysees Gilbert III,54.0,LB,Jun-00,230.0,23.0,2,Akron
Derwin Gray,77.0,OT,4-Jun,320.0,25.0,1,Maryland
Joe Haden,23.0,CB,11-May,195.0,31.0,11,Florida
J.C. Hassenauer,60.0,C,2-Jun,295.0,26.0,1,Alabama
Jerald Hawkins,65.0,OT,6-Jun,305.0,27.0,5,LSU
Cameron Heyward,97.0,DT,5-Jun,295.0,31.0,10,Ohio State
Alex Highsmith,56.0,LB,4-Jun,242.0,23.0,R,Charlotte
Mike Hilton,28.0,CB,9-May,184.0,26.0,4,Mississippi
