,58,OLB,1-Jun,227,26,6,LSU
Kwon Alexander,,,,,,,
Alex Anzalone,47,LB,3-Jun,241,26,4,Florida
Terron Armstead,72,T,5-Jun,304,29,8,Arkansas-Pine Bluff
Zack Baun,53,OLB,3-Jun,225,23,R,Wisconsin
Drew Brees,9,QB,Jun-00,209,41,20,Purdue
Malcom Brown,90,DT,2-Jun,320,26,6,Texas
Michael Burton,32,FB,Jun-00,240,28,6,Rutgers
Jared Cook,87,TE,5-Jun,254,33,12,South Carolina
Ken Crawley,25,CB,1-Jun,180,27,5,Colorado
Marcus Davenport,92,DE,6-Jun,265,24,3,Texas-San Antonio
Demario Davis,56,LB,2-Jun,248,31,9,Arkansas State
Nick Easton,62,C/G,3-Jun,303,28,6,Harvard
Kaden Elliss,55,LB,3-Jun,238,25,2,Idaho
C.J. Gardner-Johnson,22,S,11-May,210,23,2,Florida
Carl Granderson,96,DE,5-Jun,261,24,2,Wyoming
J.T. Gray,48,DB,Jun-00,202,24,3,Mississippi State
Ethan Greenidge,73,OL,4-Jun,335,23,2,Villanova
Trey Hendrickson,91,DE,4-Jun,270,26,4,Florida Atlantic
Josh Hill,89,TE,5-Jun,250,30,8,Idaho State
Taysom Hill,7,QB,2-Jun,221,30,4,Brigham Young
Lil'Jordan Humphrey,84,WR,4-Jun,225,22,2,Texas
James Hurst,74,OT,5-Jun,310,29,7,North Carolina
Janoris Jenkins,20,CB,10-May,190,32,9,North Alabama
Malcolm Jenkins,27,SS,Jun-00,204,33,12,Ohio State
Juwan Johnson,83,WR,4-Jun,231,24,R,Oregon
Cameron Jordan,94,DE,4-Jun,287,31,10,California
Alvin Kamara,41,RB,10-May,215,25,4,Tennessee
Derrick Kelly,68,OL,5-Jun,320,25,1,Florida State
Marshon Lattimore,23,CB,Jun-00,192,24,4,Ohio State
Tommylee Lewis,14,WR,7-May,168,28,4,Northern Illinois
Wil Lutz,3,K,11-May,184,26,5,Georgia State
Erik McCoy,78,C/G,4-Jun,303,23,2,Texas A&M
Ty Montgomery,88,RB,Jun-00,216,27,6,Stanford
Thomas Morstead,6,P,4-Jun,235,34,12,Southern Methodist
Latavius Murray,28,RB,3-Jun,230,30,8,Central Florida
Patrick Omameh,60,OG,4-Jun,327,30,8,Michigan
David Onyemata,93,DT,4-Jun,300,28,5,Manitoba (Canada)
Andrus Peat,75,G/T,7-Jun,316,27,6,Stanford
Ryan Ramczyk,71,T,6-Jun,314,26,4,Wisconsin
Sheldon Rankins,98,DT,2-Jun,305,26,5,Louisville
Malcolm Roach,97,DL,3-Jun,290,22,R,Texas
Craig Robertson,52,LB,1-Jun,234,32,9,North Texas
Patrick Robinson,21,CB,11-May,191,33,11,Florida State
Cesar Ruiz,51,C/G,4-Jun,316,21,R,Michigan
Emmanuel Sanders,17,WR,11-May,180,33,11,Southern Methodist
Tre'Quan Smith,10,WR,2-Jun,210,24,3,Central Florida
D.J. Swearinger,36,DB,10-May,205,29,8,South Carolina
Adam Trautman,82,TE,5-Jun,253,23,R,Dayton
Shy Tuttle,99,DT,3-Jun,300,25,2,Tennessee
Dwayne Washington,24,RB,1-Jun,223,26,5,Washington
P.J. Williams,26,DB,Jun-00,196,27,6,Florida State
Marcus Williams,43,S,1-Jun,195,24,4,Utah
Zach Wood,49,LS,3-Jun,255,27,4,Southern Methodist
