,97,DE,3-Jun,260,33,10,Troy
Mario Addison,,,,,,,
Josh Allen,17,QB,5-Jun,237,24,3,Wyoming
Matt Barkley,5,QB,2-Jun,234,30,8,Southern California
Tyler Bass,2,K,10-May,183,23,R,Georgia Southern
Ryan Bates,71,OL,4-Jun,302,23,R,Penn State
Cole Beasley,11,WR,8-May,174,31,9,Southern Methodist
Ike Boettger,65,G,6-Jun,313,26,3,Iowa
Corey Bojorquez,9,P,Jun-00,208,24,3,New Mexico
Vernon Butler,94,DT,4-Jun,330,26,5,Louisiana Tech
Gabriel Davis,13,WR,2-Jun,210,21,R,UCF
Dion Dawkins,73,T,5-Jun,320,26,4,Temple
Stefon Diggs,14,WR,Jun-00,191,27,6,Maryland
Tyrel Dodson,53,LB,Jun-00,237,22,1,Texas A&M
Tremaine Edmunds,49,LB,5-Jun,250,22,3,Virginia Tech
A.J. Epenesa,57,DE,6-Jun,260,22,R,Iowa
Jon Feliciano,76,G,4-Jun,325,28,6,Miami (Fla.)
Reid Ferguson,69,LS,2-Jun,235,26,4,Louisiana State
Jake Fromm,10,QB,2-Jun,215,22,R,Georgia
Reggie Gilliam,86,TE,Jun-00,244,23,R,Toledo
Jerry Hughes,55,DE,2-Jun,254,32,11,Texas Christian
Micah Hyde,23,S,Jun-00,197,29,8,Iowa
Quinton Jefferson,90,DL,4-Jun,291,27,5,Maryland
Darryl Johnson,92,DE,6-Jun,253,23,2,North Carolina A&T
Jaquan Johnson,46,S,10-May,191,25,2,Miami (Fla.)
Taron Johnson,24,CB,11-May,192,24,3,Weber State
Taiwan Jones,25,RB,Jun-00,195,32,10,Eastern Washington
A.J. Klein,54,LB,1-Jun,240,29,8,Iowa State
Dawson Knox,88,TE,4-Jun,254,24,2,Mississippi
Tyler Kroft,81,TE,6-Jun,252,28,6,Rutgers
Jake Kumerow,87,WR,4-Jun,209,28,3,Wis.-Whitewater
Dean Marlowe,31,S,1-Jun,208,28,4,James Madison
Tyler Matakevich,44,LB,1-Jun,235,28,5,Temple
Isaiah McKenzie,19,WR,8-May,173,25,4,Georgia
Matt Milano,58,LB,Jun-00,223,26,4,Boston College
Mitch Morse,60,C,6-Jun,305,28,6,Missouri
Zack Moss,20,RB,9-May,205,23,R,Utah
Trent Murphy,93,DE,6-Jun,260,30,7,Stanford
Siran Neal,33,CB,Jun-00,206,26,3,Jacksonville State
Josh Norman,29,CB,Jun-00,200,33,9,Coastal Carolina
Ty Nsekhe,77,T,8-Jun,330,35,6,Texas State
Ed Oliver,91,DT,1-Jun,287,23,2,Houston
Harrison Phillips,99,DT,3-Jun,307,24,3,Stanford
Jordan Poyer,21,S,Jun-00,191,29,8,Oregon State
Andre Roberts,18,WR,11-May,195,32,11,The Citadel
Devin Singletary,26,RB,7-May,203,23,2,Florida Atlantic
Andre Smith,59,LB,Jun-00,240,23,3,North Carolina
Lee Smith,85,TE,6-Jun,265,33,10,Marshall
Levi Wallace,39,CB,Jun-00,179,25,3,Alabama
Tre'Davious White,27,CB,11-May,192,24,4,Louisiana State
Daryl Williams,75,OL,6-Jun,330,28,6,Oklahoma
Brian Winters,66,OG,4-Jun,320,29,8,Kent State
T.J. Yeldon,22,RB,1-Jun,223,27,6,Alabama
Justin Zimmer,61,DT,3-Jun,300,28,2,Ferris State
