,25,CB,3-Jun,200,27,3,Utah
Brian Allen,,,,,,,
Stephen Carlson,89,TE,4-Jun,240,24,2,Princeton
Nick Chubb,24,RB,11-May,227,25,3,Georgia
Adrian Clayborn,94,DE,3-Jun,280,32,10,Iowa
Jack Conklin,78,T,6-Jun,308,26,5,Michigan State
Tae Davis,55,LB,1-Jun,224,24,3,Chattanooga
Michael Dunn,68,G,5-Jun,307,26,1,Maryland
Jordan Elliott,90,DT,4-Jun,302,23,R,Missouri
Anthony Fabiano,58,C,4-Jun,303,27,1,Harvard
Myles Garrett,95,DE,4-Jun,272,25,4,Texas A&M
Jamie Gillan,7,P,1-Jun,207,23,2,Arkansas Pine-Bluff
B.J. Goodson,93,LB,1-Jun,242,27,5,Clemson
Porter Gustin,97,DE,5-Jun,257,23,2,USC
Marvin Hall,18,WR,10-May,192,27,4,Washington
Blake Hance,62,G,6-Jun,310,24,1,Northwestern
Ronnie Harrison Jr.,33,S,3-Jun,214,23,3,Alabama
Rashard Higgins,82,WR,1-Jun,198,26,5,Colorado State
Alexander Hollins,83,WR,Jun-00,166,24,1,Eastern Illinois
Austin Hooper,81,TE,4-Jun,254,26,5,Stanford
Charley Hughlett,47,LS,4-Jun,248,30,6,Central Florida
Kareem Hunt,27,RB,11-May,216,25,4,Toledo
Joe Jackson,91,DE,4-Jun,275,24,2,Miami (Fla.)
Robert Jackson,34,CB,2-Jun,207,27,2,UNLV
Andy Janovich,31,FB,1-Jun,238,27,5,Nebraska
D'Ernest Johnson,30,RB,10-May,208,24,2,South Florida
Karl Joseph,42,S,10-May,200,27,5,West Virginia
Case Keenum,5,QB,1-Jun,215,32,8,Houston
Kendall Lamm,70,T,5-Jun,310,28,6,Appalachian State
Jarvis Landry,80,WR,11-May,196,28,7,LSU
Elijah Lee,52,LB,3-Jun,230,24,4,Kansas State
Baker Mayfield,6,QB,1-Jun,215,25,3,Oklahoma
Terrance Mitchell,39,CB,11-May,191,28,7,Oregon
Jovante Moffatt,35,S,11-May,213,24,R,Middle Tennessee State
David Njoku,85,TE,4-Jun,246,24,4,Miami (Fla.)
Larry Ogunjobi,65,DT,3-Jun,305,26,4,Charlotte
Cody Parkey,2,K,Jun-00,190,28,6,Auburn
Donovan Peoples-Jones,11,WR,2-Jun,212,21,R,Michigan
Jacob Phillips,50,LB,3-Jun,229,21,R,LSU
Sheldrick Redwine,29,S,Jun-00,196,24,2,Miami (Fla.)
Sheldon Richardson,98,DT,3-Jun,294,30,8,Missouri
M.J. Stewart Jr.,36,CB,11-May,200,25,3,North Carolina
Sione Takitaki,44,LB,1-Jun,238,25,2,BYU
Vincent Taylor,96,DT,3-Jun,311,27,4,Oklahoma State
Wyatt Teller,77,G,4-Jun,315,26,3,Virginia Tech
Tavierre Thomas,20,CB,10-May,205,24,3,Ferris State
Tedric Thompson,37,S,Jun-00,204,25,4,Colorado
JC Tretter,64,C,4-Jun,307,29,8,Cornell
Jedrick Wills Jr.,71,T,4-Jun,312,21,R,Alabama
Mack Wilson,51,LB,1-Jun,233,22,2,Alabama
