,17,WR,1-Jun,215,27,7,Fresno State
Davante Adams,,,,,,,
Jaire Alexander,23,CB,10-May,196,23,3,Louisville
Adrian Amos,31,S,Jun-00,214,27,6,Penn State
Tavon Austin,16,WR,8-May,180,30,8,West Virginia
David Bakhtiari,69,T,4-Jun,310,29,8,Colorado
Krys Barnes,51,LB,2-Jun,229,22,R,UCLA
Henry Black,41,S,Jun-00,204,23,R,Baylor
Tim Boyle,8,QB,4-Jun,232,26,3,Eastern Kentucky
Hunter Bradley,43,LS,3-Jun,241,26,3,Mississippi State
Oren Burks,42,LB,3-Jun,233,25,3,Vanderbilt
Kenny Clark,97,DL,3-Jun,314,25,5,UCLA
Mason Crosby,2,K,1-Jun,207,36,14,Colorado
Dominique Dafney,49,TE,2-Jun,243,23,R,Indiana State
AJ Dillon,28,RB,Jun-00,247,22,R,Boston College
Jonathan Garvin,53,LB,4-Jun,257,21,R,Miami
Rashan Gary,52,LB,5-Jun,277,23,2,Michigan
Ka'dar Hollman,29,CB,Jun-00,196,26,2,Toledo
Josh Jackson,37,CB,Jun-00,196,24,3,Iowa
Elgton Jenkins,74,G,5-Jun,311,24,2,Mississippi State
Aaron Jones,33,RB,9-May,208,26,4,Texas-El Paso
Kingsley Keke,96,DL,3-Jun,288,24,2,Texas A&M
Kevin King,20,CB,3-Jun,200,25,4,Washington
Christian Kirksey,58,LB,2-Jun,235,28,7,Iowa
Tyler Lancaster,95,DL,3-Jun,313,26,3,Northwestern
Allen Lazard,13,WR,5-Jun,227,25,2,Iowa State
Marcedes Lewis,89,TE,6-Jun,267,36,15,UCLA
Jordan Love,10,QB,4-Jun,219,22,R,Utah State
Dean Lowry,94,DL,6-Jun,296,26,5,Northwestern
Kamal Martin,54,LB,3-Jun,240,22,R,Minnesota
Yosh Nijman,73,T,7-Jun,314,24,1,Virginia Tech
Lucas Patrick,62,G,3-Jun,313,27,4,Duke
Randy Ramsey,56,LB,3-Jun,238,25,1,Arkansas
Will Redmond,25,S,11-May,186,26,5,Mississippi State
Aaron Rodgers,12,QB,2-Jun,225,37,16,California
Jon Runyan,76,G,4-Jun,307,23,R,Michigan
Anthony Rush,79,DL,4-Jun,361,24,2,Alabama-Birmingham
Darnell Savage,26,S,11-May,198,23,2,Maryland
JK Scott,6,P,6-Jun,208,25,3,Alabama
Vernon Scott,36,S,2-Jun,202,23,R,TCU
Preston Smith,91,LB,5-Jun,265,28,6,Mississippi State
Za'Darius Smith,55,LB,4-Jun,272,28,6,Kentucky
Equanimeous St. Brown,19,WR,5-Jun,214,24,3,Notre Dame
Simon Stepaniak,72,G,4-Jun,316,23,R,Indiana
Jace Sternberger,87,TE,4-Jun,251,24,2,Texas A&M
Chandon Sullivan,39,CB,11-May,189,24,3,Georgia State
Ty Summers,44,LB,1-Jun,241,24,2,TCU
Malik Taylor,86,WR,1-Jun,216,25,1,Ferris State
Robert Tonyan,85,TE,5-Jun,237,26,3,Indiana State
Billy Turner,77,G/T,5-Jun,310,29,7,North Dakota State
Marquez Valdes-Scantling,83,WR,4-Jun,206,26,3,South Florida
Rick Wagner,71,T,6-Jun,315,31,8,Wisconsin
Jamaal Williams,30,RB,Jun-00,213,25,4,Brigham Young
