,33,SS,1-Jun,213,25,3,LSU
Jamal Adams,,,,,,,
Ugo Amadi,28,FS,9-May,201,23,2,Oregon
Cody Barton,57,LB,2-Jun,237,24,2,Utah
Nick Bellore,44,FB,1-Jun,250,31,10,Central Michigan
Jordyn Brooks,56,LB,Jun-00,240,23,R,Texas Tech
Duane Brown,76,T,4-Jun,315,35,13,Virginia Tech
Jonathan Bullard,93,DE,3-Jun,296,27,5,Florida
Ben Burr-Kirven,55,LB,Jun-00,230,23,2,Washington
Chris Carson,32,RB,11-May,222,26,4,Oklahoma State
L.J. Collier,91,DE,2-Jun,291,25,2,TCU
DeeJay Dallas,31,RB,10-May,217,22,R,Miami (Fla.)
Michael Dickson,4,P,2-Jun,208,24,3,Texas
Quandre Diggs,37,SS,9-May,198,27,6,Texas
Will Dissly,89,TE,4-Jun,265,24,3,Washington
Carlos Dunlap II,43,DE,6-Jun,285,31,11,Florida
Poona Ford,97,DT,11-May,310,25,3,Texas
Kyle Fuller,61,C/G,5-Jun,320,26,2,Baylor
Josh Gordon,10,WR,3-Jun,238,29,5,Baylor
Rasheem Green,94,DE,4-Jun,279,23,3,USC
Shaquem Griffin,49,LB,Jun-00,227,25,3,UCF
Shaquill Griffin,26,CB,Jun-00,198,25,4,UCF
Damon Harrison,59,DT,3-Jun,350,32,9,William Penn
Phil Haynes,60,G,4-Jun,322,25,2,Wake Forest
Jacob Hollister,86,TE,4-Jun,245,27,4,Wyoming
Carlos Hyde,30,RB,Jun-00,229,30,7,Ohio State
Mike Iupati,70,G,5-Jun,331,33,11,Idaho
Damien Lewis,68,G,2-Jun,327,23,R,LSU
Tyler Lockett,16,WR,10-May,182,28,6,Kansas State
Benson Mayowa,95,DE,3-Jun,265,29,8,Idaho
DK Metcalf,14,WR,4-Jun,235,23,2,Ole Miss
Damontre Moore,99,DE,4-Jun,260,28,6,Texas A&M
David Moore,83,WR,Jun-00,215,25,4,East Central (OK)
Jason Myers,5,K,10-May,190,29,6,Marist
Ryan Neal,35,CB,3-Jun,200,25,1,Southern Illinois
Cedric Ogbuehi,74,T,5-Jun,308,28,6,Texas A&M
Tyler Ott,69,LS,3-Jun,253,28,6,Harvard
Colby Parkinson,84,TE,7-Jun,251,21,R,Stanford
Rashaad Penny,20,RB,11-May,220,24,3,San Diego St.
Ethan Pocic,77,C/G,6-Jun,320,25,4,LSU
Damarious Randall,36,SS,11-May,196,28,6,Arizona State
D.J. Reed,29,CB,9-May,193,24,3,Kansas State
Jarran Reed,90,DT,3-Jun,306,28,5,Alabama
Alton Robinson,98,DE,3-Jun,259,22,R,Syracuse
Brandon Shell,72,T,5-Jun,324,28,5,South Carolina
Jordan Simmons,66,G,4-Jun,339,26,3,USC
Geno Smith,7,QB,3-Jun,221,30,8,West Virginia
Jayson Stanley,39,CB,2-Jun,207,23,1,Georgia
Linden Stephens,34,CB,Jun-00,193,25,1,Cincinnati
Freddie Swain,18,WR,Jun-00,199,22,R,Florida
Bobby Wagner,54,LB,Jun-00,242,30,9,Utah State
Chad Wheeler,75,T,7-Jun,318,26,3,USC
Russell Wilson,3,QB,11-May,215,32,9,Wisconsin
K.J. Wright,50,LB,4-Jun,246,31,10,Mississippi State
